unitdid,opeid,Graduation_Rate,GR_Group_Low,GR_Group_LowToMedium,GR_Group_MediumToHigh,GR_Group_High,School_CDR,National_Average_CDR,Median_Total_Borrowing,Median_Monthly_Payment,Institution_Group
230621,00367400,55.2,0,17.7,32.2,100,24.7,13.4,15741,181.15,2
230630,00367401,56,0,17.7,32.2,100,24.7,13.4,15741,181.15,2
230676,01116500,-2,0,24.1,50.1,100,,13.4,,,3
230728,00367700,51.7,0,37.3,56.7,100,4.2,13.4,9000,103.57,1
230737,00402700,24.6,0,37.3,56.7,100,5.7,13.4,9500,109.33,1
230746,00522000,24.2,0,17.7,32.2,100,10.6,13.4,5250,60.42,2
230764,00367500,55.3,0,37.3,56.7,100,2.6,13.4,12075,138.96,1
230782,00368000,42.8,0,37.3,56.7,100,5.7,13.4,7630,87.81,1
230807,00368100,65.6,0,37.3,56.7,100,3.1,13.4,18826,216.65,1
230816,00368200,67.2,0,37.3,56.7,100,2.9,13.4,23000,264.68,1
230825,01218300,33.3,0,37.3,56.7,100,8.8,13.4,16790,193.22,1
230834,00368300,47.3,0,37.3,56.7,100,5.6,13.4,18111,208.42,1
230852,00368400,62.4,0,37.3,56.7,100,2.9,13.4,25000,287.7,1
230861,01116707,12.3,0,17.7,32.2,100,15.2,13.4,5843,67.24,2
230889,00368600,0,0,37.3,56.7,100,5.9,13.4,18750,215.78,1
230898,00368700,43.7,0,37.3,56.7,100,10,13.4,19000,218.65,1
230913,00368800,30.5,0,37.3,56.7,100,6.7,13.4,18869,217.15,1
230931,00368900,31.4,0,37.3,56.7,100,8.6,13.4,17107,196.87,1
230940,00369000,66.2,0,37.3,56.7,100,2.7,13.4,19311,222.23,1
230959,00369100,90.4,0,37.3,56.7,100,1.7,13.4,21500,247.42,1
230977,02254000,-2,0,17.7,32.2,100,12.5,13.4,15000,172.62,2
230995,00369200,55.1,0,37.3,56.7,100,4.4,13.4,22000,253.18,1
231004,00865800,61.8,0,62.5,77.6,100,13.6,13.4,9500,109.33,5
