ZIP,BAH,Terroritory,MHA
14508,1344,,NY221
14510,1233,,ZZ750
14511,1344,,NY221
14512,1344,,NY221
14513,1233,,ZZ750
14514,1344,,NY221
14515,1344,,NY221
14516,1233,,ZZ750
14517,1233,,ZZ750
14518,1344,,NY221
14519,1233,,ZZ750
14520,1233,,ZZ750
14521,1131,,NY223
14522,1233,,ZZ750
14525,1137,,ZZ690
14526,1344,,NY221
14527,1086,,ZZ660
14529,1071,,ZZ650
14530,1104,,ZZ670
14532,1344,,NY221
14533,1233,,ZZ750
14534,1344,,NY221
14536,1104,,ZZ670
14537,1344,,NY221
14538,1233,,ZZ750
14539,1233,,ZZ750
14541,1131,,NY223
14542,1233,,ZZ750
14543,1344,,NY221
14544,1086,,ZZ660
14545,1233,,ZZ750
14546,1344,,NY221
14547,1344,,NY221
14548,1344,,NY221
14549,1104,,ZZ670
14550,1104,,ZZ670
14551,1233,,ZZ750
14555,1233,,ZZ750
14556,1233,,ZZ750
14557,1137,,ZZ690
14558,1233,,ZZ750
14559,1344,,NY221
14560,1344,,NY221
14561,1344,,NY221
14563,1233,,ZZ750
14564,1344,,NY221
14568,1233,,ZZ750
14569,1104,,ZZ670
14571,1233,,ZZ750
14572,1071,,ZZ650
14580,1344,,NY221
14585,1344,,NY221
14586,1344,,NY221
14588,1131,,NY223
14589,1233,,ZZ750
14590,1233,,ZZ750
14591,1104,,ZZ670
14592,1233,,ZZ750
14602,1344,,NY221
14603,1344,,NY221
14604,1344,,NY221
14605,1344,,NY221
14606,1344,,NY221
14607,1344,,NY221
14608,1344,,NY221
14609,1344,,NY221
14610,1344,,NY221
14611,1344,,NY221
14612,1344,,NY221
14613,1344,,NY221
14614,1344,,NY221
14615,1344,,NY221
14616,1344,,NY221
14617,1344,,NY221
14618,1344,,NY221
14619,1344,,NY221
14620,1344,,NY221
14621,1344,,NY221
14622,1344,,NY221
14623,1344,,NY221
14624,1344,,NY221
14625,1344,,NY221
14626,1344,,NY221
14627,1344,,NY221
14638,1344,,NY221
14639,1344,,NY221
14642,1344,,NY221
14643,1344,,NY221
14644,1344,,NY221
14646,1344,,NY221
14647,1344,,NY221
14649,1344,,NY221
14650,1344,,NY221
14651,1344,,NY221
14652,1344,,NY221
14653,1344,,NY221
14692,1344,,NY221
14694,1344,,NY221
14701,1071,,ZZ650
14702,1071,,ZZ650
14706,1086,,ZZ660
14707,1038,,ZZ630
14708,1038,,ZZ630
14709,1038,,ZZ630
14710,1071,,ZZ650
14711,1038,,ZZ630
14712,1071,,ZZ650
14714,1038,,ZZ630
14715,1038,,ZZ630
14716,1071,,ZZ650
14717,1038,,ZZ630
14718,1071,,ZZ650
14719,1086,,ZZ660
14720,1071,,ZZ650
14721,1038,,ZZ630
14722,1071,,ZZ650
14723,1071,,ZZ650
14724,1071,,ZZ650
14726,1086,,ZZ660
14727,1038,,ZZ630
14728,1071,,ZZ650
14729,1086,,ZZ660
14730,1086,,ZZ660
14731,1086,,ZZ660
14732,1071,,ZZ650
14733,1071,,ZZ650
14735,1038,,ZZ630
14736,1071,,ZZ650
14737,1086,,ZZ660
14738,1071,,ZZ650
14739,1038,,ZZ630
14740,1071,,ZZ650
14741,1086,,ZZ660
14742,1071,,ZZ650
14743,1086,,ZZ660
14744,1038,,ZZ630
14745,1038,,ZZ630
14747,1071,,ZZ650
14748,1086,,ZZ660
14750,1071,,ZZ650
